target_tokens_per_second,layers,layer_budget_ms,tier,assumed_load_latency_ms,minimum_prefetch_horizon_layers,data_class
10,36,2.777777778,ram_local_read,0.24,1,synthetic_latency
10,36,2.777777778,ram_to_gpu_pcie,0.55,1,synthetic_latency
10,36,2.777777778,nvme_to_ram_optimistic,2.21,1,synthetic_latency
10,36,2.777777778,nvme_to_ram_tail,4.5,2,synthetic_latency
20,36,1.388888889,ram_local_read,0.24,1,synthetic_latency
20,36,1.388888889,ram_to_gpu_pcie,0.55,1,synthetic_latency
20,36,1.388888889,nvme_to_ram_optimistic,2.21,2,synthetic_latency
20,36,1.388888889,nvme_to_ram_tail,4.5,4,synthetic_latency
30,36,0.925925926,ram_local_read,0.24,1,synthetic_latency
30,36,0.925925926,ram_to_gpu_pcie,0.55,1,synthetic_latency
30,36,0.925925926,nvme_to_ram_optimistic,2.21,3,synthetic_latency
30,36,0.925925926,nvme_to_ram_tail,4.5,5,synthetic_latency
40,36,0.694444444,ram_local_read,0.24,1,synthetic_latency
40,36,0.694444444,ram_to_gpu_pcie,0.55,1,synthetic_latency
40,36,0.694444444,nvme_to_ram_optimistic,2.21,4,synthetic_latency
40,36,0.694444444,nvme_to_ram_tail,4.5,7,synthetic_latency
60,36,0.462962963,ram_local_read,0.24,1,synthetic_latency
60,36,0.462962963,ram_to_gpu_pcie,0.55,2,synthetic_latency
60,36,0.462962963,nvme_to_ram_optimistic,2.21,5,synthetic_latency
60,36,0.462962963,nvme_to_ram_tail,4.5,10,synthetic_latency
90,36,0.308641975,ram_local_read,0.24,1,synthetic_latency
90,36,0.308641975,ram_to_gpu_pcie,0.55,2,synthetic_latency
90,36,0.308641975,nvme_to_ram_optimistic,2.21,8,synthetic_latency
90,36,0.308641975,nvme_to_ram_tail,4.5,15,synthetic_latency
