gpu_efficiency,gpu_effective_gbps,ram_effective_gbps,nvme_effective_gbps,fixed_overhead_ms,best_gpu_fraction,best_ram_fraction,best_nvme_fraction,gpu_time_ms,ram_time_ms,nvme_time_ms,total_time_ms,estimated_tokens_per_second,data_class
0.35,250.88,35.0,3.5,0.0,0.66,0.31,0.03,17.099773,16.860145,16.31627,17.099773,58.480307,synthetic_analytical
0.35,250.88,35.0,3.5,1.0,0.66,0.31,0.03,17.099773,16.860145,16.31627,18.099773,55.24931,synthetic_analytical
0.35,250.88,35.0,3.5,2.0,0.66,0.31,0.03,17.099773,16.860145,16.31627,19.099773,52.356642,synthetic_analytical
0.35,250.88,35.0,3.5,3.0,0.66,0.31,0.03,17.099773,16.860145,16.31627,20.099773,49.751804,synthetic_analytical
0.35,250.88,35.0,5.5,0.0,0.65,0.31,0.04,17.023898,16.860145,13.844108,17.023898,58.740954,synthetic_analytical
0.35,250.88,35.0,5.5,1.0,0.65,0.31,0.04,17.023898,16.860145,13.844108,18.023898,55.481894,synthetic_analytical
0.35,250.88,35.0,5.5,2.0,0.65,0.31,0.04,17.023898,16.860145,13.844108,19.023898,52.565463,synthetic_analytical
0.35,250.88,35.0,5.5,3.0,0.65,0.31,0.04,17.023898,16.860145,13.844108,20.023898,49.940326,synthetic_analytical
0.35,250.88,35.0,7.0,0.0,0.63,0.31,0.06,16.872147,16.860145,16.31627,16.872147,59.26928,synthetic_analytical
0.35,250.88,35.0,7.0,1.0,0.63,0.31,0.06,16.872147,16.860145,16.31627,17.872147,55.952987,synthetic_analytical
0.35,250.88,35.0,7.0,2.0,0.63,0.31,0.06,16.872147,16.860145,16.31627,18.872147,52.988142,synthetic_analytical
0.35,250.88,35.0,7.0,3.0,0.63,0.31,0.06,16.872147,16.860145,16.31627,19.872147,50.321689,synthetic_analytical
0.35,250.88,50.0,3.5,0.0,0.55,0.42,0.03,16.265143,15.989944,16.31627,16.31627,61.288519,synthetic_analytical
0.35,250.88,50.0,3.5,1.0,0.55,0.42,0.03,16.265143,15.989944,16.31627,17.31627,57.749158,synthetic_analytical
0.35,250.88,50.0,3.5,2.0,0.55,0.42,0.03,16.265143,15.989944,16.31627,18.31627,54.59627,synthetic_analytical
0.35,250.88,50.0,3.5,3.0,0.55,0.42,0.03,16.265143,15.989944,16.31627,19.31627,51.76983,synthetic_analytical
0.35,250.88,50.0,5.5,0.0,0.54,0.42,0.04,16.189267,15.989944,13.844108,16.189267,61.769318,synthetic_analytical
0.35,250.88,50.0,5.5,1.0,0.54,0.42,0.04,16.189267,15.989944,13.844108,17.189267,58.175836,synthetic_analytical
0.35,250.88,50.0,5.5,2.0,0.54,0.42,0.04,16.189267,15.989944,13.844108,18.189267,54.977476,synthetic_analytical
0.35,250.88,50.0,5.5,3.0,0.54,0.42,0.04,16.189267,15.989944,13.844108,19.189267,52.112464,synthetic_analytical
0.35,250.88,50.0,7.0,0.0,0.53,0.42,0.05,16.113392,15.989944,13.596891,16.113392,62.06018,synthetic_analytical
0.35,250.88,50.0,7.0,1.0,0.53,0.42,0.05,16.113392,15.989944,13.596891,17.113392,58.43377,synthetic_analytical
0.35,250.88,50.0,7.0,2.0,0.53,0.42,0.05,16.113392,15.989944,13.596891,18.113392,55.207772,synthetic_analytical
0.35,250.88,50.0,7.0,3.0,0.53,0.42,0.05,16.113392,15.989944,13.596891,19.113392,52.319338,synthetic_analytical
0.35,250.88,65.0,3.5,0.0,0.45,0.53,0.02,15.506388,15.521375,10.877513,15.521375,64.427284,synthetic_analytical
0.35,250.88,65.0,3.5,1.0,0.45,0.53,0.02,15.506388,15.521375,10.877513,16.521375,60.527652,synthetic_analytical
0.35,250.88,65.0,3.5,2.0,0.45,0.53,0.02,15.506388,15.521375,10.877513,17.521375,57.073148,synthetic_analytical
0.35,250.88,65.0,3.5,3.0,0.45,0.53,0.02,15.506388,15.521375,10.877513,18.521375,53.991673,synthetic_analytical
0.35,250.88,65.0,5.5,0.0,0.44,0.52,0.04,15.430512,15.228518,13.844108,15.430512,64.806663,synthetic_analytical
0.35,250.88,65.0,5.5,1.0,0.44,0.52,0.04,15.430512,15.228518,13.844108,16.430512,60.862375,synthetic_analytical
0.35,250.88,65.0,5.5,2.0,0.44,0.52,0.04,15.430512,15.228518,13.844108,17.430512,57.37066,synthetic_analytical
0.35,250.88,65.0,5.5,3.0,0.44,0.52,0.04,15.430512,15.228518,13.844108,18.430512,54.257852,synthetic_analytical
0.35,250.88,65.0,7.0,0.0,0.43,0.52,0.05,15.354637,15.228518,13.596891,15.354637,65.126907,synthetic_analytical
0.35,250.88,65.0,7.0,1.0,0.43,0.52,0.05,15.354637,15.228518,13.596891,16.354637,61.144739,synthetic_analytical
0.35,250.88,65.0,7.0,2.0,0.43,0.52,0.05,15.354637,15.228518,13.596891,17.354637,57.621488,synthetic_analytical
0.35,250.88,65.0,7.0,3.0,0.43,0.52,0.05,15.354637,15.228518,13.596891,18.354637,54.482146,synthetic_analytical
0.45,322.56,35.0,3.5,0.0,0.73,0.25,0.02,13.712924,13.596891,10.877513,13.712924,72.923908,synthetic_analytical
0.45,322.56,35.0,3.5,1.0,0.73,0.25,0.02,13.712924,13.596891,10.877513,14.712924,67.967456,synthetic_analytical
0.45,322.56,35.0,3.5,2.0,0.73,0.25,0.02,13.712924,13.596891,10.877513,15.712924,63.641879,synthetic_analytical
0.45,322.56,35.0,3.5,3.0,0.73,0.25,0.02,13.712924,13.596891,10.877513,16.712924,59.833935,synthetic_analytical
0.45,322.56,35.0,5.5,0.0,0.72,0.25,0.03,13.65391,13.596891,10.383081,13.65391,73.239097,synthetic_analytical
0.45,322.56,35.0,5.5,1.0,0.72,0.25,0.03,13.65391,13.596891,10.383081,14.65391,68.241175,synthetic_analytical
0.45,322.56,35.0,5.5,2.0,0.72,0.25,0.03,13.65391,13.596891,10.383081,15.65391,63.881805,synthetic_analytical
0.45,322.56,35.0,5.5,3.0,0.72,0.25,0.03,13.65391,13.596891,10.383081,16.65391,60.045961,synthetic_analytical
0.45,322.56,35.0,7.0,0.0,0.71,0.25,0.04,13.594895,13.596891,10.877513,13.596891,73.546222,synthetic_analytical
0.45,322.56,35.0,7.0,1.0,0.71,0.25,0.04,13.594895,13.596891,10.877513,14.596891,68.507737,synthetic_analytical
0.45,322.56,35.0,7.0,2.0,0.71,0.25,0.04,13.594895,13.596891,10.877513,15.596891,64.11534,synthetic_analytical
0.45,322.56,35.0,7.0,3.0,0.71,0.25,0.04,13.594895,13.596891,10.877513,16.596891,60.252247,synthetic_analytical
0.45,322.56,50.0,3.5,0.0,0.64,0.34,0.02,13.181795,12.944241,10.877513,13.181795,75.862201,synthetic_analytical
0.45,322.56,50.0,3.5,1.0,0.64,0.34,0.02,13.181795,12.944241,10.877513,14.181795,70.512935,synthetic_analytical
0.45,322.56,50.0,3.5,2.0,0.64,0.34,0.02,13.181795,12.944241,10.877513,15.181795,65.868363,synthetic_analytical
0.45,322.56,50.0,3.5,3.0,0.64,0.34,0.02,13.181795,12.944241,10.877513,16.181795,61.79784,synthetic_analytical
0.45,322.56,50.0,5.5,0.0,0.63,0.34,0.03,13.122781,12.944241,10.383081,13.122781,76.20336,synthetic_analytical
0.45,322.56,50.0,5.5,1.0,0.63,0.34,0.03,13.122781,12.944241,10.383081,14.122781,70.807584,synthetic_analytical
0.45,322.56,50.0,5.5,2.0,0.63,0.34,0.03,13.122781,12.944241,10.383081,15.122781,66.125404,synthetic_analytical
0.45,322.56,50.0,5.5,3.0,0.63,0.34,0.03,13.122781,12.944241,10.383081,16.122781,62.024039,synthetic_analytical
0.45,322.56,50.0,7.0,0.0,0.62,0.34,0.04,13.063767,12.944241,10.877513,13.063767,76.547601,synthetic_analytical
0.45,322.56,50.0,7.0,1.0,0.62,0.34,0.04,13.063767,12.944241,10.877513,14.063767,71.104706,synthetic_analytical
0.45,322.56,50.0,7.0,2.0,0.62,0.34,0.04,13.063767,12.944241,10.877513,15.063767,66.384459,synthetic_analytical
0.45,322.56,50.0,7.0,3.0,0.62,0.34,0.04,13.063767,12.944241,10.877513,16.063767,62.2519,synthetic_analytical
0.45,322.56,65.0,3.5,0.0,0.55,0.43,0.02,12.650667,12.592813,10.877513,12.650667,79.047218,synthetic_analytical
0.45,322.56,65.0,3.5,1.0,0.55,0.43,0.02,12.650667,12.592813,10.877513,13.650667,73.256495,synthetic_analytical
0.45,322.56,65.0,3.5,2.0,0.55,0.43,0.02,12.650667,12.592813,10.877513,14.650667,68.25628,synthetic_analytical
0.45,322.56,65.0,3.5,3.0,0.55,0.43,0.02,12.650667,12.592813,10.877513,15.650667,63.895042,synthetic_analytical
0.45,322.56,65.0,5.5,0.0,0.54,0.43,0.03,12.591652,12.592813,10.383081,12.592813,79.410373,synthetic_analytical
0.45,322.56,65.0,5.5,1.0,0.54,0.43,0.03,12.591652,12.592813,10.383081,13.592813,73.568288,synthetic_analytical
0.45,322.56,65.0,5.5,2.0,0.54,0.43,0.03,12.591652,12.592813,10.383081,14.592813,68.526882,synthetic_analytical
0.45,322.56,65.0,5.5,3.0,0.54,0.43,0.03,12.591652,12.592813,10.383081,15.592813,64.132109,synthetic_analytical
0.45,322.56,65.0,7.0,0.0,0.54,0.42,0.04,12.591652,12.299957,10.877513,12.591652,79.417694,synthetic_analytical
0.45,322.56,65.0,7.0,1.0,0.54,0.42,0.04,12.591652,12.299957,10.877513,13.591652,73.574572,synthetic_analytical
0.45,322.56,65.0,7.0,2.0,0.54,0.42,0.04,12.591652,12.299957,10.877513,14.591652,68.532334,synthetic_analytical
0.45,322.56,65.0,7.0,3.0,0.54,0.42,0.04,12.591652,12.299957,10.877513,15.591652,64.136884,synthetic_analytical
0.55,394.24,35.0,3.5,0.0,0.77,0.21,0.02,11.412803,11.421389,10.877513,11.421389,87.555027,synthetic_analytical
0.55,394.24,35.0,3.5,1.0,0.77,0.21,0.02,11.412803,11.421389,10.877513,12.421389,80.506296,synthetic_analytical
0.55,394.24,35.0,3.5,2.0,0.77,0.21,0.02,11.412803,11.421389,10.877513,13.421389,74.507938,synthetic_analytical
0.55,394.24,35.0,3.5,3.0,0.77,0.21,0.02,11.412803,11.421389,10.877513,14.421389,69.341449,synthetic_analytical
0.55,394.24,35.0,5.5,0.0,0.77,0.2,0.03,11.412803,10.877513,10.383081,11.412803,87.620897,synthetic_analytical
0.55,394.24,35.0,5.5,1.0,0.77,0.2,0.03,11.412803,10.877513,10.383081,12.412803,80.561984,synthetic_analytical
0.55,394.24,35.0,5.5,2.0,0.77,0.2,0.03,11.412803,10.877513,10.383081,13.412803,74.555634,synthetic_analytical
0.55,394.24,35.0,5.5,3.0,0.77,0.2,0.03,11.412803,10.877513,10.383081,14.412803,69.382758,synthetic_analytical
0.55,394.24,35.0,7.0,0.0,0.76,0.2,0.04,11.364518,10.877513,10.877513,11.364518,87.993172,synthetic_analytical
0.55,394.24,35.0,7.0,1.0,0.76,0.2,0.04,11.364518,10.877513,10.877513,12.364518,80.876585,synthetic_analytical
0.55,394.24,35.0,7.0,2.0,0.76,0.2,0.04,11.364518,10.877513,10.877513,13.364518,74.824995,synthetic_analytical
0.55,394.24,35.0,7.0,3.0,0.76,0.2,0.04,11.364518,10.877513,10.877513,14.364518,69.615979,synthetic_analytical
0.55,394.24,50.0,3.5,0.0,0.69,0.29,0.02,11.026527,11.040676,10.877513,11.040676,90.574165,synthetic_analytical
0.55,394.24,50.0,3.5,1.0,0.69,0.29,0.02,11.026527,11.040676,10.877513,12.040676,83.051816,synthetic_analytical
0.55,394.24,50.0,3.5,2.0,0.69,0.29,0.02,11.026527,11.040676,10.877513,13.040676,76.683142,synthetic_analytical
