gpu_efficiency,gpu_effective_gbps,ram_effective_gbps,nvme_effective_gbps,fixed_overhead_ms,best_gpu_fraction,best_ram_fraction,best_nvme_fraction,gpu_time_ms,ram_time_ms,nvme_time_ms,total_time_ms,estimated_tokens_per_second,data_class
0.55,394.24,50.0,3.5,0.0,0.69,0.29,0.02,11.026527,11.040676,10.877513,11.040676,90.574165,synthetic_analytical
0.55,394.24,50.0,3.5,1.0,0.69,0.29,0.02,11.026527,11.040676,10.877513,12.040676,83.051816,synthetic_analytical
0.55,394.24,50.0,3.5,2.0,0.69,0.29,0.02,11.026527,11.040676,10.877513,13.040676,76.683142,synthetic_analytical
0.55,394.24,50.0,3.5,3.0,0.69,0.29,0.02,11.026527,11.040676,10.877513,14.040676,71.221643,synthetic_analytical
0.55,394.24,50.0,5.5,0.0,0.69,0.28,0.03,11.026527,10.659963,10.383081,11.026527,90.690385,synthetic_analytical
0.55,394.24,50.0,5.5,1.0,0.69,0.28,0.03,11.026527,10.659963,10.383081,12.026527,83.149522,synthetic_analytical
0.55,394.24,50.0,5.5,2.0,0.69,0.28,0.03,11.026527,10.659963,10.383081,13.026527,76.76643,synthetic_analytical
0.55,394.24,50.0,5.5,3.0,0.69,0.28,0.03,11.026527,10.659963,10.383081,14.026527,71.293484,synthetic_analytical
0.55,394.24,50.0,7.0,0.0,0.68,0.28,0.04,10.978243,10.659963,10.877513,10.978243,91.089258,synthetic_analytical
0.55,394.24,50.0,7.0,1.0,0.68,0.28,0.04,10.978243,10.659963,10.877513,11.978243,83.484699,synthetic_analytical
0.55,394.24,50.0,7.0,2.0,0.68,0.28,0.04,10.978243,10.659963,10.877513,12.978243,77.052033,synthetic_analytical
0.55,394.24,50.0,7.0,3.0,0.68,0.28,0.04,10.978243,10.659963,10.877513,13.978243,71.53975,synthetic_analytical
