experts_per_layer,cached_experts_per_layer,zipf_exponent,per_selection_hit_probability,all_top4_hit_independence_approx,data_class
128,4,0.6,0.168693648,0.000809832,synthetic_distribution
128,8,0.6,0.253954749,0.004159349,synthetic_distribution
128,12,0.6,0.317314292,0.010138146,synthetic_distribution
128,16,0.6,0.369380999,0.018616507,synthetic_distribution
128,20,0.6,0.414317066,0.029466686,synthetic_distribution
128,24,0.6,0.45425084,0.042577775,synthetic_distribution
128,32,0.6,0.523691571,0.075214632,synthetic_distribution
128,48,0.6,0.636531517,0.164164651,synthetic_distribution
128,64,0.6,0.72865349,0.281892938,synthetic_distribution
128,4,0.8,0.26454294,0.004897616,synthetic_distribution
128,8,0.8,0.368870828,0.018513871,synthetic_distribution
128,12,0.8,0.438985023,0.037136316,synthetic_distribution
128,16,0.8,0.492929165,0.059038873,synthetic_distribution
128,20,0.8,0.537246812,0.083309665,synthetic_distribution
128,24,0.8,0.575108119,0.109395132,synthetic_distribution
128,32,0.8,0.637965824,0.16564932,synthetic_distribution
128,48,0.8,0.73332893,0.289197991,synthetic_distribution
128,64,0.8,0.806054544,0.422141183,synthetic_distribution
128,4,1.0,0.383448726,0.021618681,synthetic_distribution
128,8,1.0,0.500236253,0.06261821,synthetic_distribution
128,12,1.0,0.571162648,0.106423905,synthetic_distribution
128,16,1.0,0.622241389,0.149911718,synthetic_distribution
128,20,1.0,0.662183371,0.192270689,synthetic_distribution
128,24,1.0,0.69498545,0.233293614,synthetic_distribution
128,32,1.0,0.746987911,0.311353888,synthetic_distribution
128,48,1.0,0.820665647,0.453591615,synthetic_distribution
128,64,1.0,0.873138684,0.581209789,synthetic_distribution
128,4,1.2,0.511657175,0.068535609,synthetic_distribution
128,8,1.2,0.630815779,0.158347129,synthetic_distribution
128,12,1.2,0.696159675,0.234874275,synthetic_distribution
128,16,1.2,0.740198436,0.300187534,synthetic_distribution
128,20,1.2,0.772973317,0.35699161,synthetic_distribution
128,24,1.2,0.798846209,0.407242143,synthetic_distribution
128,32,1.2,0.838020191,0.493194165,synthetic_distribution
128,48,1.2,0.889866508,0.627046065,synthetic_distribution
128,64,1.2,0.924340928,0.730009871,synthetic_distribution
128,4,1.4,0.632408662,0.159952576,synthetic_distribution
128,8,1.4,0.743963829,0.306342522,synthetic_distribution
128,12,1.4,0.799159045,0.407880438,synthetic_distribution
128,16,1.4,0.833963375,0.483713171,synthetic_distribution
128,20,1.4,0.858613295,0.543488595,synthetic_distribution
128,24,1.4,0.877317133,0.592415541,synthetic_distribution
128,32,1.4,0.904368193,0.668930684,synthetic_distribution
128,48,1.4,0.937820767,0.773533956,synthetic_distribution
128,64,1.4,0.958582997,0.844342957,synthetic_distribution
128,4,1.6,0.733898079,0.290096844,synthetic_distribution
128,8,1.6,0.831092216,0.477086205,synthetic_distribution
128,12,1.6,0.874448327,0.584704728,synthetic_distribution
128,16,1.6,0.900021711,0.65616331,synthetic_distribution
128,20,1.6,0.917256513,0.707885826,synthetic_distribution
128,24,1.6,0.929825845,0.747491837,synthetic_distribution
128,32,1.6,0.947193337,0.80492337,synthetic_distribution
128,48,1.6,0.967266901,0.875357199,synthetic_distribution
128,64,1.6,0.978892646,0.918206289,synthetic_distribution
128,4,1.8,0.812295852,0.435368438,synthetic_distribution
128,8,1.8,0.89241228,0.634252445,synthetic_distribution
128,12,1.8,0.924608129,0.730854339,synthetic_distribution
128,16,1.8,0.942368352,0.788647209,synthetic_distribution
128,20,1.8,0.953756739,0.82746661,synthetic_distribution
128,24,1.8,0.961739223,0.85551832,synthetic_distribution
128,32,1.8,0.972278353,0.893639726,synthetic_distribution
128,48,1.8,0.983666449,0.936249145,synthetic_distribution
128,64,1.8,0.989819435,0.959895394,synthetic_distribution
